ts,red,ir,green
1675891554286839,64880.0,85705.0,3837.0
1675891554298839,64880.0,85705.0,3837.0
1675891554310839,64880.0,85705.0,3837.0
1675891554325839,62461.0,82406.0,3689.0
1675891554337839,62461.0,82406.0,3689.0
1675891554349839,62461.0,82406.0,3689.0
1675891554365839,63120.0,83175.0,3732.0
1675891554377839,63120.0,83175.0,3732.0
1675891554389839,63120.0,83175.0,3732.0
1675891554405839,70015.0,91777.0,4125.0
1675891554417839,70015.0,91777.0,4125.0
1675891554429839,70015.0,91777.0,4125.0
1675891554445840,84975.0,110066.0,4982.0
1675891554457840,84975.0,110066.0,4982.0
1675891554468840,84975.0,110066.0,4982.0
1675891554485839,96448.0,124033.0,5604.0
1675891554497840,96448.0,124033.0,5604.0
1675891554508839,96448.0,124033.0,5604.0
1675891554525839,110638.0,140543.0,6335.0
1675891554537839,110638.0,140543.0,6335.0
1675891554549839,110638.0,140543.0,6335.0
1675891554565839,139388.0,172141.0,8081.0
1675891554577839,139388.0,172141.0,8081.0
1675891554589839,139388.0,172141.0,8081.0
1675891554605839,202050.0,237714.0,11322.0
1675891554617839,202050.0,237714.0,11322.0
1675891554629839,202050.0,237714.0,11322.0
1675891554645839,262143.0,262143.0,15200.0
1675891554657839,262143.0,262143.0,15200.0
1675891554669839,262143.0,262143.0,15200.0
1675891554685840,262143.0,262143.0,15474.0
1675891554697840,262143.0,262143.0,15474.0
1675891554709840,262143.0,262143.0,15474.0
1675891554725840,245760.0,256436.0,12624.0
1675891554737840,245760.0,256436.0,12624.0
1675891554749840,245760.0,256436.0,12624.0
1675891554765839,159401.0,193612.0,10813.0
1675891554777839,159401.0,193612.0,10813.0
1675891554789839,159401.0,193612.0,10813.0
1675891554805839,185179.0,244418.0,14762.0
1675891554817839,185179.0,244418.0,14762.0
1675891554829839,185179.0,244418.0,14762.0
1675891554845839,169086.0,228462.0,13601.0
1675891554857839,169086.0,228462.0,13601.0
1675891554869839,169086.0,228462.0,13601.0
1675891554885839,161819.0,219779.0,12817.0
1675891554897839,161819.0,219779.0,12817.0
1675891554909839,161819.0,219779.0,12817.0
1675891554925840,183673.0,246592.0,14172.0
1675891554937840,183673.0,246592.0,14172.0
1675891554949840,183673.0,246592.0,14172.0
1675891554966840,254076.0,262143.0,19154.0
1675891554978840,254076.0,262143.0,19154.0
1675891554990840,254076.0,262143.0,19154.0
1675891555006839,262143.0,262143.0,19001.0
1675891555018839,262143.0,262143.0,19001.0
1675891555030839,262143.0,262143.0,19001.0
1675891555046839,246806.0,262143.0,17764.0
1675891555058839,246806.0,262143.0,17764.0
1675891555070839,246806.0,262143.0,17764.0
1675891555086839,257488.0,262143.0,18350.0
1675891555098839,257488.0,262143.0,18350.0
1675891555110839,257488.0,262143.0,18350.0
1675891555126839,235321.0,262143.0,17019.0
1675891555138839,235321.0,262143.0,17019.0
1675891555150839,235321.0,262143.0,17019.0
1675891555166839,223685.0,262143.0,16378.0
1675891555178840,223685.0,262143.0,16378.0
1675891555190840,223685.0,262143.0,16378.0
1675891555205840,231906.0,262143.0,16867.0
1675891555217840,231906.0,262143.0,16867.0
1675891555229840,231906.0,262143.0,16867.0
1675891555245839,220619.0,262143.0,15974.0
1675891555257839,220619.0,262143.0,15974.0
1675891555269839,220619.0,262143.0,15974.0
1675891555285839,131072.0,180224.0,8927.0
1675891555297839,131072.0,180224.0,8927.0
1675891555309839,131072.0,180224.0,8927.0
1675891555325839,27912.0,38076.0,1760.0
1675891555337839,27912.0,38076.0,1760.0
1675891555349839,27912.0,38076.0,1760.0
1675891555365839,20934.0,26122.0,1263.0
1675891555377839,20934.0,26122.0,1263.0
1675891555389840,20934.0,26122.0,1263.0
1675891555405840,20640.0,24512.0,1208.0
1675891555417840,20640.0,24512.0,1208.0
1675891555429840,20640.0,24512.0,1208.0
1675891555445840,23831.0,27693.0,1346.0
1675891555457840,23831.0,27693.0,1346.0
1675891555468840,23831.0,27693.0,1346.0
1675891555485839,25169.0,29096.0,1384.0
1675891555497839,25169.0,29096.0,1384.0
1675891555508839,25169.0,29096.0,1384.0
1675891555525839,27844.0,32147.0,1463.0
1675891555537839,27844.0,32147.0,1463.0
1675891555549839,27844.0,32147.0,1463.0
1675891555565839,31847.0,36820.0,1623.0
1675891555577839,31847.0,36820.0,1623.0
1675891555589839,31847.0,36820.0,1623.0
1675891555605839,34075.0,39575.0,1711.0
1675891555617839,34075.0,39575.0,1711.0
1675891555629839,34075.0,39575.0,1711.0
1675891555645839,37724.0,44135.0,1858.0
1675891555657839,37724.0,44135.0,1858.0
1675891555669839,37724.0,44135.0,1858.0
1675891555685840,42229.0,48678.0,2012.0
1675891555697840,42229.0,48678.0,2012.0
1675891555709840,42229.0,48678.0,2012.0
1675891555725839,42962.0,48950.0,2031.0
1675891555737839,42962.0,48950.0,2031.0
1675891555749839,42962.0,48950.0,2031.0
1675891555765839,43677.0,48731.0,2087.0
1675891555777839,43677.0,48731.0,2087.0
1675891555789839,43677.0,48731.0,2087.0
1675891555805839,44373.0,49692.0,2115.0
1675891555817839,44373.0,49692.0,2115.0
1675891555829839,44373.0,49692.0,2115.0
1675891555845839,43799.0,48977.0,2050.0
1675891555857839,43799.0,48977.0,2050.0
1675891555869840,43799.0,48977.0,2050.0
1675891555885840,44139.0,49420.0,2094.0
1675891555897840,44139.0,49420.0,2094.0
1675891555909840,44139.0,49420.0,2094.0
1675891555925840,43509.0,48521.0,2069.0
1675891555937840,43509.0,48521.0,2069.0
1675891555949840,43509.0,48521.0,2069.0
1675891555966839,42538.0,47467.0,2009.0
1675891555978839,42538.0,47467.0,2009.0
1675891555990839,42538.0,47467.0,2009.0
1675891556006839,44986.0,50795.0,2161.0
1675891556018839,44986.0,50795.0,2161.0
1675891556030839,44986.0,50795.0,2161.0
1675891556045839,51513.0,60723.0,2571.0
1675891556057839,51513.0,60723.0,2571.0
1675891556069839,51513.0,60723.0,2571.0
1675891556086839,58436.0,72379.0,3140.0
1675891556098839,58436.0,72379.0,3140.0
1675891556110839,58436.0,72379.0,3140.0
1675891556125840,87879.0,114128.0,4874.0
1675891556137840,87879.0,114128.0,4874.0
1675891556149840,87879.0,114128.0,4874.0
1675891556165840,139360.0,172064.0,8408.0
1675891556176840,139360.0,172064.0,8408.0
1675891556188840,139360.0,172064.0,8408.0
1675891556205839,188562.0,237620.0,11288.0
1675891556217839,188562.0,237620.0,11288.0
1675891556229839,188562.0,237620.0,11288.0
1675891556245839,196608.0,245760.0,11727.0
1675891556257839,196608.0,245760.0,11727.0
1675891556269839,196608.0,245760.0,11727.0
1675891556285839,4219.0,49152.0,586.0
1675891556297839,4219.0,49152.0,586.0
1675891556309839,4219.0,49152.0,586.0
1675891556325839,4522.0,26338.0,580.0
1675891556337839,4522.0,26338.0,580.0
1675891556349840,4522.0,26338.0,580.0
1675891556365840,5256.0,43091.0,627.0
1675891556377840,5256.0,43091.0,627.0
1675891556389840,5256.0,43091.0,627.0
1675891556405840,5163.0,41519.0,599.0
1675891556417840,5163.0,41519.0,599.0
1675891556429840,5163.0,41519.0,599.0
1675891556445839,4849.0,33316.0,578.0
1675891556457839,4849.0,33316.0,578.0
1675891556468839,4849.0,33316.0,578.0
1675891556485839,4965.0,37176.0,595.0
1675891556497839,4965.0,37176.0,595.0
1675891556508839,4965.0,37176.0,595.0
1675891556525838,4997.0,37335.0,612.0
1675891556537839,4997.0,37335.0,612.0
1675891556549839,4997.0,37335.0,612.0
1675891556565839,4947.0,36391.0,586.0
1675891556577839,4947.0,36391.0,586.0
1675891556589839,4947.0,36391.0,586.0
1675891556605839,4968.0,37195.0,590.0
1675891556617839,4968.0,37195.0,590.0
1675891556629839,4968.0,37195.0,590.0
1675891556645839,4982.0,36796.0,603.0
1675891556657839,4982.0,36796.0,603.0
1675891556669839,4982.0,36796.0,603.0
1675891556685839,4992.0,37019.0,598.0
1675891556697839,4992.0,37019.0,598.0
1675891556709839,4992.0,37019.0,598.0
1675891556725839,4994.0,37027.0,600.0
1675891556737839,4994.0,37027.0,600.0
1675891556749839,4994.0,37027.0,600.0
1675891556765839,4978.0,36946.0,621.0
1675891556777839,4978.0,36946.0,621.0
1675891556789839,4978.0,36946.0,621.0
1675891556805839,4978.0,37039.0,608.0
1675891556817839,4978.0,37039.0,608.0
1675891556829839,4978.0,37039.0,608.0
1675891556845839,4938.0,37005.0,582.0
1675891556857839,4938.0,37005.0,582.0
1675891556869840,4938.0,37005.0,582.0
1675891556885840,4990.0,37022.0,602.0
1675891556897840,4990.0,37022.0,602.0
1675891556909840,4990.0,37022.0,602.0
1675891556925839,4965.0,37045.0,589.0
1675891556937839,4965.0,37045.0,589.0
1675891556949839,4965.0,37045.0,589.0
1675891556965839,4999.0,37070.0,600.0
1675891556977839,4999.0,37070.0,600.0
1675891556989839,4999.0,37070.0,600.0
1675891557005839,4965.0,37101.0,613.0
1675891557017839,4965.0,37101.0,613.0
1675891557029839,4965.0,37101.0,613.0
1675891557045839,5001.0,37085.0,587.0
1675891557057839,5001.0,37085.0,587.0
1675891557069839,5001.0,37085.0,587.0
1675891557085839,4965.0,37094.0,581.0
1675891557097839,4965.0,37094.0,581.0
1675891557109840,4965.0,37094.0,581.0
1675891557125840,4984.0,37091.0,615.0
1675891557137840,4984.0,37091.0,615.0
